dt,accumulated_time,flow_x,flow_y,tof_strength,x,y,roll,pitch,yaw,altitude,tof_h,baro_h
0.02,0.02,0,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08785944170230256,0.08785944170230256,0.13899999670684338
0.02,0.02,0,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
0.02,0.02,0,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,0,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,0,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
0.02,0.02,1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
0.02,0.02,1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,1,1,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08786064609386704,0.08786064609386704,0.13899999670684338
0.02,0.02,1,1,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08686222966098218,0.08686222966098218,0.13899999670684338
0.02,0.02,1,1,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08586381322809734,0.08586381322809734,0.13899999670684338
0.02,0.02,0,1,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08786064609386704,0.08786064609386704,0.13899999670684338
0.02,0.02,-1,0,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08686222966098218,0.08686222966098218,0.13899999670684338
0.02,0.02,-1,0,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08586381322809734,0.08586381322809734,0.13899999670684338
0.02,0.02,-3,3,100,0.0,0.0,-0.00698131700797732,-0.05585053606381854,-2.220446049250313e-16,0.08786064609386704,0.08786064609386704,0.13899999670684338
0.02,0.02,-1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,-1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08785944170230256,0.08785944170230256,0.13899999670684338
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08785944170230256,0.08785944170230256,0.13899999670684338
0.02,0.02,1,1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.13899999670684338
0.02,0.02,-3,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08586263620906841,0.08586263620906841,0.13899999670684338
